role,session,predictor,duration_s,crse_m,final_pos_err_m,aeps_m,true_distance_m
test,S-A5,ins_dr,10.0,27.655942882003824,27.655942882003824,3.449534622698067,115.06211162006306
test,S-A5,ins_dr,10.0,16.629808781796875,16.629808781796875,1.8444718933199333,119.56837865157735
test,S-A5,ins_dr,10.0,13.661805401162615,13.661805401162615,1.5449599071738866,121.33599379858411
test,S-A5,ins_dr,10.0,18.358508846946762,18.358508846946762,1.8389656586459862,127.94771465592173
test,S-A5,ins_dr,10.0,15.431802067011946,15.431802067011946,1.7922060410592244,134.67728288776584
test,S-A5,ins_dr,10.0,24.848186872750535,24.848186872750535,2.7985316784196055,153.34497985177217
test,S-A5,ins_dr,10.0,18.105144019682655,18.105144019682655,3.4759157849286524,157.86203328693
test,S-A5,ins_dr,10.0,31.83524050585341,31.83524050585341,3.455562492812736,185.9403069684994
test,S-A5,ins_dr,10.0,32.01794929965294,32.01794929965294,3.4297768947835743,206.2005459577655
test,S-A5,ins_dr,10.0,38.833430973890756,38.833430973890756,4.9396128129508,238.18871454133003
test,S-A5,ins_dr,10.0,32.030822101449424,32.030822101449424,4.937581272869119,239.2092476034011
test,S-A5,ins_dr,10.0,32.15468178849026,32.15468178849026,4.06589166134824,266.57118550934524
test,S-A5,ins_dr,10.0,29.64576697527323,29.64576697527323,3.9368441689979514,259.25815809988796
test,S-A5,ins_dr,10.0,10.529361948176675,10.529361948176675,2.6271775857011437,235.16259837754188
test,S-A5,ins_dr,10.0,86.17028302292228,86.17028302292228,8.697391613011646,287.8660261151107
test,S-A5,ins_dr,10.0,28.394982240692695,28.394982240692695,3.0566263092158366,260.6738886777279
test,S-A5,ins_dr,10.0,27.488428654087315,27.488428654087315,2.786274382407071,253.5750953399572
test,S-A5,ins_dr,10.0,35.15691687973407,35.15691687973407,3.3566730818291886,268.9574564573637
test,S-A5,ins_dr,10.0,23.65064926202008,23.65064926202008,1.8655260682858483,253.5399732409572
test,S-A5,ins_dr,10.0,28.334090694258904,28.334090694258904,2.944191689571654,257.7829388865393
test,S-A5,ins_dr,10.0,43.72810755726295,43.72810755726295,6.032611688087459,271.48423815002127
test,S-A5,ins_dr,10.0,35.865645779918545,35.865645779918545,3.471654935427401,270.2763066555253
test,S-A5,ins_dr,10.0,25.715351938378834,25.715351938378834,2.713788078825149,266.8769982862836
test,S-A5,ins_dr,10.0,27.020894848558818,27.020894848558818,2.960240679128386,277.94563904215477
test,S-A5,ins_dr,10.0,29.206229059975193,29.206229059975193,2.8950520019059063,267.3056607815605
test,S-A5,ins_dr,10.0,28.238566338156176,28.238566338156176,2.8156007497431164,272.1423398066385
test,S-A5,ins_dr,10.0,32.678082796149965,32.678082796149965,3.2178987711035703,279.54637263817733
test,S-A5,ins_dr,10.0,23.515611048282356,23.515611048282356,2.3600727175236385,276.73790813460346
test,S-A5,ins_dr,10.0,32.42031699819966,32.42031699819966,3.2711083535930525,279.5916669738177
test,S-A5,ins_dr,10.0,32.91766480178402,32.91766480178402,3.255281648248194,283.5726759128606
test,S-A5,ins_dr,10.0,25.738679314567307,25.738679314567307,2.1095601545133724,277.7147976688042
test,S-A5,ins_dr,10.0,17.406095392943456,17.406095392943456,2.4112871940498866,270.68708846740816
test,S-A5,ins_dr,10.0,13.46518903320673,13.46518903320673,1.8140406780934473,246.4070560184045
test,S-A5,ins_dr,10.0,0.6789794155732837,0.6789794155732837,1.3012840425851917,207.2109651847378
test,S-A5,ins_dr,10.0,31.295818752915178,31.295818752915178,3.3099171160684735,143.0078640967622
test,S-A5,ins_dr,10.0,41.94187849830919,41.94187849830919,4.235889748564697,56.99345728183453
test,S-A5,ins_dr,10.0,4.741531232747495,4.741531232747495,0.5044497575652495,59.04053941554928
test,S-A5,ins_dr,10.0,8.363437281356298,8.363437281356298,0.9990582355568757,58.873796150948856
test,S-A5,ins_dr,10.0,1.7681340573478999,1.7681340573478999,0.4568360334906877,62.61194823150917
test,S-A5,ins_dr,10.0,1.019142908051976,1.019142908051976,0.7885336826720237,48.78811949141648
test,S-A5,ins_dr,10.0,16.577503950968584,16.577503950968584,1.7453309002347992,67.13365674073249
test,S-A5,ins_dr,10.0,9.114871568799133,9.114871568799133,1.1003145425736502,66.22095349924147
test,S-A5,ins_dr,10.0,12.973295902330737,12.973295902330737,1.4376134752923977,78.5832427878962
test,S-A5,ins_dr,10.0,2.361024629837093,2.361024629837093,0.5873435590963659,66.85183981643118
test,S-A5,ins_dr,10.0,7.368707721061479,7.368707721061479,1.2516467433409812,61.77634505080128
test,S-A5,ins_dr,10.0,10.865064840431495,10.865064840431495,1.7651199875793864,73.9296509203443
test,S-A5,ins_dr,10.0,7.4650808844092955,7.4650808844092955,0.9645829320303122,40.32695012341858
test,S-A5,ins_dr,10.0,0.766498423495423,0.766498423495423,0.5526728221046747,45.673224422831936
test,S-A5,ins_dr,10.0,2.741309282094354,2.741309282094354,1.2007862533584555,56.27733650146111
test,S-A5,ins_dr,10.0,28.826703471187706,28.826703471187706,3.228597873668312,119.5572899140024
